username,type,veve_user_id,wallet_imx,wallet_stackr,holdings,value_floor
Granolawarfare,VeVe Team,90b20410-aeff-4dc8-9ac5-3d372bf258f8,0x3f34f825f64a25cd27c2443c49b1e38e26f8d577,0x823b80dbaeccf2cfa43e6127bffb057c12828eb6,558,$19 832
Josh7291,VeVe Team,080e3661-48ee-4899-bf3a-c5b02ef6da6c,0x290f31fcffd92421cb6922e9e5376149f03a1210,0x5198dbe1a55c10f37a27ca2cad3c246318637d06,648,$86 702
Omegatron88,Modération,e6d633ae-d459-422d-a93b-1224e34e7261,0x7b91247f9d110b07741c9e6b42cd2a4dec4879e3,,2 347,$207 131
SwampyNumber5,Modération,db3a8acd-b4ab-44e3-8fb8-5ae846dc7d25,0xc895c74d51cafda1d74f644dc2442ca2a74db8fe,,965,$50 791
RaVeN100,Modération,e088dc5b-50e2-4641-8745-130380bc9249,0x6131a91afc74c65b4f3e05e7367ca04623b9c008,,5 126,$204 624
DAOMIHOMIE,VeVe Team,91de1358-0830-4536-be25-5fdb8e21d33f,,,,
stellanovas,VeVe Team,556d60f1-efda-4939-9c93-5bcfd1e570ff,,,,
