veve_uuid,series_uuid,supply,first_public,edition_type
00cfcb5b-ef11-4186-bf21-3cede6326fcc,269dd160-537b-43ae-8c20-723f3d81cdb0,1000,11,3
00cff142-e703-451a-b1ac-2eb3d31e0cd8,3338c7aa-8094-4251-82ce-e5d9644a01b0,1000,11,1
00d81bef-3817-4f80-9521-02487a481a82,05a8d837-08c5-4660-a91e-4c2d68ce9e7a,1000,11,1
00dc7827-1796-45fc-8189-b8b99fdcbe46,e627bfd8-fd20-49c4-a0f8-ae4386cb49f9,1000,11,4
00dd2dd2-1425-4f27-b48b-2f085172e089,014bddde-4ace-4c5d-9bfd-c5311663b709,1000,11,36
00e4c173-d56c-48e2-a1de-0930bd7cf9b3,20bc6c68-c391-45fd-be41-be185402c8dc,1000,11,1
00e71a64-63bd-4edd-85e6-2370f35d8ceb,90525a33-313d-45a8-b818-d6208b33706c,1000,11,4
00e93e80-e149-4038-bb6f-7737ce16fe80,6212c3f1-1087-440c-ac53-de0850f5c690,666,41,FE
00efd2e3-52aa-41b8-960e-dc7c9d0f667e,683ad8a2-ba1b-4824-bac9-578cfccf3d6e,1000,11,8
00f30fcd-8448-48ad-bed4-2fb1125f04eb,cdd4ef3d-33fa-41d8-b0f0-d92dbe0128c9,1000,11,7
00f74840-9bf1-4881-b138-15ca772c1985,ae665745-7c86-408c-b061-9f08bc0206b6,2209,41,FA
00f8240a-eeaf-490e-8bf3-5ac40477fbfe,3e6937da-a0b1-4fa8-a6aa-dcdbf2d7f533,1000,11,4
0101a85f-97b3-4962-921b-de009de62373,90fc6221-72d0-4244-9695-5bd48a534111,1000,11,1
010233c5-da15-438e-b7fb-642c2afbf236,d726fbd8-6b81-4733-8535-73cd88b27c1a,1000,11,5
01053705-c0dc-4d29-b9c0-7c7a0c0f16e4,ecaf5c0e-a3b1-4a2a-b472-091af7a196e7,2000,149,6
0105e7f8-fecd-457a-8a75-14a74df60cda,e8f5a012-cde6-4149-b52d-23b07ab4b1d2,1000,11,1
0106e32a-0002-493d-a88f-37912bb3ba4d,7bd16046-cbdd-4eae-96ae-0c75d6e61193,1000,11,15
011174a3-93f4-418c-ba35-548df7d530a2,171b2ec8-5020-49c9-9f3d-4da8271e3008,1000,11,4
0114317b-0850-4b82-90aa-9208b8cf51b6,6ee49279-9c4c-4558-878f-a89a4fedfe6f,1000,11,5
0117f97c-9fe1-4735-b850-47dcb0b44d44,f1081784-28f0-4476-b56f-300876f52436,800,41,FA
011812eb-d615-4e98-92ad-cc528d860132,361777bf-53ba-4a2d-b2e6-5459084313bb,1000,11,1
01245cdd-7c5d-4def-ab8b-575a59d7cd3d,2222baed-a78e-41e0-ad52-e903ad2a21c4,1000,11,1
